ID,customer_id,country_id,tbl_loan_id,lender_id,loan_type,Total_Amount,Total_Amount_to_Repay,disbursement_date,due_date,duration,New_versus_Repeat,Amount_Funded_By_Lender,Lender_portion_Funded,Lender_portion_to_be_repaid,target
ID_259797260367267278,259797,Kenya,260367,267278,Type_1,20897.0,21534.0,2022-09-16,2022-09-23,7,Repeat Loan,8.4,0.000401971574867205,9.0,0
ID_266806299457267278,266806,Kenya,299457,267278,Type_1,1047.0,1087.0,2022-11-15,2022-11-22,7,Repeat Loan,314.1,0.3,326.0,0
ID_240842231082267278,240842,Kenya,231082,267278,Type_1,5144.0,5144.0,2022-08-03,2022-08-10,7,Repeat Loan,1543.2,0.3,1543.0,0
ID_263520299287267278,263520,Kenya,299287,267278,Type_1,6588.0,6671.0,2022-11-15,2022-11-22,7,Repeat Loan,0.0,0.0,0.0,0
ID_247613231029267278,247613,Kenya,231029,267278,Type_1,659.0,659.0,2022-08-03,2022-08-10,7,Repeat Loan,197.7,0.3,198.0,0
ID_259757300626267278,259757,Kenya,300626,267278,Type_1,3500.0,3500.0,2022-11-17,2022-11-24,7,Repeat Loan,1050.0,0.3,1050.0,0
ID_251200251556267278,251200,Kenya,251556,267278,Type_1,13898.0,13898.0,2022-09-04,2022-09-11,7,Repeat Loan,4169.4,0.3,4169.0,0
ID_8454270433267278,8454,Kenya,270433,267278,Type_1,21990.0,22660.0,2022-09-29,2022-10-06,7,Repeat Loan,0.0,0.0,0.0,0
ID_249343222371267278,249343,Kenya,222371,267278,Type_1,16188.0,16188.0,2022-07-22,2022-07-29,7,Repeat Loan,4856.4,0.3,4856.0,0
ID_250144269756267278,250144,Kenya,269756,267278,Type_1,8678.0,8783.0,2022-09-28,2022-10-05,7,Repeat Loan,314.58,0.0362502880848121,318.0,0
ID_256766275401267278,256766,Kenya,275401,267278,Type_1,2799.0,2799.0,2022-10-05,2022-10-12,7,Repeat Loan,839.7,0.3,840.0,0
ID_254038262866267278,254038,Kenya,262866,267278,Type_1,1223.0,1223.0,2022-09-19,2022-09-26,7,Repeat Loan,3.41,0.00278822567457072,3.0,0
ID_256188224559267278,256188,Kenya,224559,267278,Type_1,5199.0,5231.0,2022-07-25,2022-08-01,7,Repeat Loan,1559.7,0.3,1569.0,0
ID_249893252997267278,249893,Kenya,252997,267278,Type_1,16672.0,17060.0,2022-09-06,2022-09-13,7,Repeat Loan,6.12,0.000367082533589251,6.0,0
ID_254276237492267278,254276,Kenya,237492,267278,Type_1,465.0,465.0,2022-08-15,2022-08-22,7,Repeat Loan,139.5,0.3,140.0,0
ID_266265236196267278,266265,Kenya,236196,267278,Type_1,4989.0,5168.0,2022-08-13,2022-08-20,7,Repeat Loan,1496.7,0.3,1550.0,0
ID_260977219092267278,260977,Kenya,219092,267278,Type_1,2688.0,2688.0,2022-07-18,2022-07-25,7,Repeat Loan,806.4,0.3,806.0,0
ID_250907249920267278,250907,Kenya,249920,267278,Type_1,6094.0,6281.0,2022-09-02,2022-09-09,7,Repeat Loan,1828.2,0.3,1884.0,0
ID_262445291063267278,262445,Kenya,291063,267278,Type_1,4398.0,4528.0,2022-10-31,2022-11-07,7,Repeat Loan,1319.4,0.3,1358.0,0
ID_264617287214267278,264617,Kenya,287214,267278,Type_1,2980.0,2980.0,2022-10-24,2022-10-31,7,Repeat Loan,894.0,0.3,894.0,0
ID_245173280133267278,245173,Kenya,280133,267278,Type_1,3400.0,3498.0,2022-10-12,2022-10-19,7,Repeat Loan,441.58,0.129876470588235,454.0,0
ID_257585229187267278,257585,Kenya,229187,267278,Type_1,2120.0,2120.0,2022-08-01,2022-08-08,7,Repeat Loan,636.0,0.3,636.0,0
ID_243600290730267278,243600,Kenya,290730,267278,Type_1,1440.0,1440.0,2022-10-29,2022-11-05,7,Repeat Loan,0.0,0.0,0.0,0
ID_248808244825267278,248808,Kenya,244825,267278,Type_1,47974.0,48646.0,2022-08-26,2022-09-02,7,Repeat Loan,356.55,0.007432150748322,362.0,0
ID_153746243476267278,153746,Kenya,243476,267278,Type_1,640.0,665.0,2022-08-24,2022-08-31,7,Repeat Loan,0.0,0.0,0.0,0
ID_260948305547267278,260948,Kenya,305547,267278,Type_1,4819.0,4819.0,2022-11-28,2022-12-05,7,Repeat Loan,1445.7,0.3,1446.0,0
ID_309901368792251804,309901,Kenya,368792,251804,Type_7,3845.0,3980.0,2024-08-12,2024-08-19,7,Repeat Loan,769.0,0.2,796.0,0
ID_244340373076251804,244340,Kenya,373076,251804,Type_7,75725.0,78966.0,2024-10-12,2024-10-19,7,Repeat Loan,15145.0,0.2,15793.0,0
ID_261406275501267278,261406,Kenya,275501,267278,Type_1,3179.0,3179.0,2022-10-05,2022-10-12,7,Repeat Loan,857.7,0.269801824473104,858.0,0
ID_260817258262267278,260817,Kenya,258262,267278,Type_1,850.0,1098.0,2022-09-13,2022-09-20,7,Repeat Loan,0.0,0.0,0.0,0
ID_250874262025267278,250874,Kenya,262025,267278,Type_1,46990.0,46990.0,2022-09-17,2022-09-24,7,Repeat Loan,4.51,9.59778676314109e-05,5.0,0
ID_258355257199267278,258355,Kenya,257199,267278,Type_1,6099.0,6099.0,2022-09-12,2022-09-19,7,Repeat Loan,1829.7,0.3,1830.0,0
ID_248907234428267278,248907,Kenya,234428,267278,Type_1,610.0,620.0,2022-08-10,2022-08-17,7,Repeat Loan,183.0,0.3,186.0,0
ID_270158306014267278,270158,Kenya,306014,267278,Type_6,3000.0,3060.0,2022-12-03,2022-12-10,7,Repeat Loan,480.0,0.16,490.0,0
ID_242161298193267278,242161,Kenya,298193,267278,Type_1,2779.0,2880.0,2022-11-12,2022-11-19,7,Repeat Loan,833.7,0.3,864.0,0
ID_260966243933267278,260966,Kenya,243933,267278,Type_1,1810.0,1836.0,2022-08-25,2022-09-01,7,Repeat Loan,543.0,0.3,551.0,0
ID_249307204433267278,249307,Kenya,204433,267278,Type_5,22000.0,23200.0,2022-07-01,2022-07-15,14,Repeat Loan,3520.0,0.16,3712.0,0
ID_254487282738267278,254487,Kenya,282738,267278,Type_1,8259.0,8512.0,2022-10-15,2022-10-22,7,Repeat Loan,1328.76,0.160886305848165,1369.0,0
ID_239456301751267278,239456,Kenya,301751,267278,Type_1,6415.0,6493.0,2022-11-19,2022-11-26,7,Repeat Loan,27.59,0.00430085736554949,28.0,0
ID_308853367986267278,308853,Kenya,367986,267278,Type_7,4240.0,4726.0,2024-07-22,2024-07-29,7,Repeat Loan,848.0,0.2,945.0,0
ID_245204307438267278,245204,Kenya,307438,267278,Type_4,20000.0,21400.0,2023-07-06,2023-08-05,30,Repeat Loan,633.0,0.03165,677.0,0
ID_251741216086267278,251741,Kenya,216086,267278,Type_1,1400.0,1404.0,2022-07-14,2022-07-21,7,Repeat Loan,420.0,0.3,421.0,0
ID_246894304756267278,246894,Kenya,304756,267278,Type_1,9706.0,10003.0,2022-11-26,2022-12-03,7,Repeat Loan,19.16,0.00197403667834329,20.0,0
ID_251106305171267278,251106,Kenya,305171,267278,Type_1,8888.0,9149.0,2022-11-28,2022-12-05,7,Repeat Loan,2666.4,0.3,2745.0,0
ID_257554275112267278,257554,Kenya,275112,267278,Type_1,8384.0,8384.0,2022-10-05,2022-10-12,7,Repeat Loan,212.71,0.0253709446564885,213.0,0
ID_253544125688251804,253544,Kenya,125688,251804,Type_5,8000.0,8500.0,2022-03-11,2022-03-25,14,Repeat Loan,1280.0,0.16,1360.0,0
ID_256419273764267278,256419,Kenya,273764,267278,Type_1,2240.0,2256.0,2022-10-03,2022-10-10,7,Repeat Loan,0.0,0.0,0.0,0
ID_269496226485267278,269496,Kenya,226485,267278,Type_1,4489.0,4489.0,2022-07-28,2022-08-04,7,Repeat Loan,1346.7,0.3,1347.0,0
ID_267851297225267278,267851,Kenya,297225,267278,Type_1,3496.0,3573.0,2022-11-11,2022-11-18,7,Repeat Loan,1048.8,0.3,1072.0,0
ID_248898218422267278,248898,Kenya,218422,267278,Type_1,1398.0,1418.0,2022-07-18,2022-07-25,7,Repeat Loan,419.4,0.3,425.0,0
ID_251897232906267278,251897,Kenya,232906,267278,Type_1,2919.0,2919.0,2022-08-06,2022-08-13,7,Repeat Loan,875.7,0.3,876.0,0
ID_249299241378267278,249299,Kenya,241378,267278,Type_1,29232.0,29232.0,2022-08-20,2022-08-27,7,Repeat Loan,8769.6,0.3,8770.0,0
ID_249893284052267278,249893,Kenya,284052,267278,Type_1,13324.0,13730.0,2022-10-18,2022-10-25,7,Repeat Loan,1087.5,0.0816196337436205,1121.0,0
ID_247897241973267278,247897,Kenya,241973,267278,Type_1,1500.0,1500.0,2022-08-22,2022-08-29,7,Repeat Loan,450.0,0.3,450.0,0
ID_308873369006267278,308873,Kenya,369006,267278,Type_7,2115.0,2214.0,2024-08-15,2024-08-22,7,Repeat Loan,423.0,0.2,443.0,0
ID_261145215777267278,261145,Kenya,215777,267278,Type_1,8980.0,9034.0,2022-07-14,2022-07-21,7,Repeat Loan,2694.0,0.3,2710.0,0
ID_250466242983267278,250466,Kenya,242983,267278,Type_1,2310.0,2327.0,2022-08-23,2022-08-30,7,Repeat Loan,693.0,0.3,698.0,0
ID_254784280850267278,254784,Kenya,280850,267278,Type_1,1680.0,1704.0,2022-10-13,2022-10-20,7,Repeat Loan,504.0,0.3,511.0,0
ID_266475301107267278,266475,Kenya,301107,267278,Type_1,16639.0,17147.0,2022-11-18,2022-11-25,7,Repeat Loan,601.2,0.0361319790852815,620.0,0
ID_243029270101267278,243029,Kenya,270101,267278,Type_1,33930.0,34780.0,2022-09-29,2022-10-06,7,Repeat Loan,10179.0,0.3,10434.0,0
ID_272100285161267278,272100,Kenya,285161,267278,Type_1,3063.0,3167.0,2022-10-20,2022-10-27,7,Repeat Loan,918.9,0.3,950.0,0
ID_243806260599267278,243806,Kenya,260599,267278,Type_1,4599.0,4665.0,2022-09-16,2022-09-23,7,Repeat Loan,0.0,0.0,0.0,0
ID_243160295937267278,243160,Kenya,295937,267278,Type_1,2259.0,2275.0,2022-11-08,2022-11-15,7,Repeat Loan,677.7,0.3,683.0,0
ID_248717283014267278,248717,Kenya,283014,267278,Type_1,20085.0,20381.0,2022-10-17,2022-10-24,7,Repeat Loan,6025.5,0.3,6114.0,0
ID_254252282420267278,254252,Kenya,282420,267278,Type_1,28396.0,29261.0,2022-10-15,2022-10-22,7,Repeat Loan,0.0,0.0,0.0,0
ID_271670273863267278,271670,Kenya,273863,267278,Type_1,1500.0,1511.0,2022-10-03,2022-10-10,7,Repeat Loan,450.0,0.3,453.0,0
ID_258486293562267278,258486,Kenya,293562,267278,Type_1,26660.0,26981.0,2022-11-04,2022-11-11,7,Repeat Loan,6.6,0.000247561890472618,7.0,0
ID_261844286531267278,261844,Kenya,286531,267278,Type_1,9240.0,9240.0,2022-10-22,2022-10-29,7,Repeat Loan,1126.68,0.121935064935064,1127.0,0
ID_262561251869267278,262561,Kenya,251869,267278,Type_1,17048.0,17048.0,2022-09-05,2022-09-12,7,Repeat Loan,1191.58,0.0698955889253871,1192.0,0
ID_310313375213267278,310313,Kenya,375213,267278,Type_7,4994.0,5169.0,2024-11-12,2024-11-19,7,Repeat Loan,832.33,0.166665999199038,861.0,0
ID_251692294138267278,251692,Kenya,294138,267278,Type_1,22984.0,23122.0,2022-11-05,2022-11-12,7,Repeat Loan,6895.2,0.3,6937.0,0
ID_253926217923267278,253926,Kenya,217923,267278,Type_1,18913.0,18913.0,2022-07-16,2022-07-23,7,Repeat Loan,5673.9,0.3,5674.0,0
ID_293681360336267277,293681,Kenya,360336,267277,Type_2,20200.0,24676.0,2023-10-23,2023-11-22,30,Repeat Loan,430.78,0.0213257425742574,526.0,1
ID_269011260645267278,269011,Kenya,260645,267278,Type_1,1498.0,1543.0,2022-09-16,2022-09-23,7,Repeat Loan,449.4,0.3,463.0,0
ID_261817275026267278,261817,Kenya,275026,267278,Type_1,5269.0,5269.0,2022-10-05,2022-10-12,7,Repeat Loan,1580.7,0.3,1581.0,0
ID_240359239929267278,240359,Kenya,239929,267278,Type_1,2249.0,2249.0,2022-08-19,2022-08-26,7,Repeat Loan,0.0,0.0,0.0,0
ID_253271299777267278,253271,Kenya,299777,267278,Type_1,14390.0,14421.0,2022-11-16,2022-11-23,7,Repeat Loan,1702.35,0.118300903405142,1706.0,0
ID_257440223112267278,257440,Kenya,223112,267278,Type_1,11600.0,11600.0,2022-07-23,2022-07-30,7,Repeat Loan,3480.0,0.3,3480.0,0
ID_262542290168267278,262542,Kenya,290168,267278,Type_1,5928.0,5946.0,2022-10-29,2022-11-05,7,Repeat Loan,1778.4,0.3,1784.0,0
ID_266237266154267278,266237,Kenya,266154,267278,Type_1,3327.0,3327.0,2022-09-23,2022-09-30,7,Repeat Loan,998.1,0.3,998.0,0
ID_270359284056267278,270359,Kenya,284056,267278,Type_1,1945.0,1945.0,2022-10-18,2022-10-25,7,Repeat Loan,583.5,0.3,584.0,0
ID_249286226781267278,249286,Kenya,226781,267278,Type_1,6212.0,6251.0,2022-07-28,2022-08-04,7,Repeat Loan,1863.6,0.3,1875.0,0
ID_251200223139267278,251200,Kenya,223139,267278,Type_1,2320.0,2320.0,2022-07-23,2022-07-30,7,Repeat Loan,696.0,0.3,696.0,0
ID_268906302161267278,268906,Kenya,302161,267278,Type_1,17176.0,17604.0,2022-11-21,2022-11-28,7,Repeat Loan,5152.8,0.3,5281.0,0
ID_259757280620267278,259757,Kenya,280620,267278,Type_1,26364.0,26364.0,2022-10-12,2022-10-19,7,Repeat Loan,7909.2,0.3,7909.0,0
ID_242250217505267278,242250,Kenya,217505,267278,Type_1,5279.0,5311.0,2022-07-16,2022-07-23,7,Repeat Loan,1583.7,0.3,1593.0,0
ID_241986304778267278,241986,Kenya,304778,267278,Type_1,5850.0,6030.0,2022-11-26,2022-12-03,7,Repeat Loan,0.0,0.0,0.0,0
ID_259611300301267278,259611,Kenya,300301,267278,Type_1,8338.0,8338.0,2022-11-17,2022-11-24,7,Repeat Loan,2501.4,0.3,2501.0,0
ID_254787300722267278,254787,Kenya,300722,267278,Type_1,15037.0,15101.0,2022-11-18,2022-11-25,7,Repeat Loan,4511.1,0.3,4530.0,0
ID_255056224059267278,255056,Kenya,224059,267278,Type_1,5198.0,5198.0,2022-07-25,2022-08-01,7,Repeat Loan,1559.4,0.3,1559.0,0
ID_256053283553267278,256053,Kenya,283553,267278,Type_1,3999.0,4111.0,2022-10-17,2022-10-24,7,Repeat Loan,0.0,0.0,0.0,0
ID_267429289260267278,267429,Kenya,289260,267278,Type_1,1503.0,1503.0,2022-10-27,2022-11-03,7,Repeat Loan,450.9,0.3,451.0,0
ID_268657301238267278,268657,Kenya,301238,267278,Type_1,2427.0,2516.0,2022-11-19,2022-11-26,7,Repeat Loan,728.1,0.3,755.0,0
ID_260080242620267278,260080,Kenya,242620,267278,Type_1,2600.0,2600.0,2022-08-23,2022-08-30,7,Repeat Loan,780.0,0.3,780.0,0
ID_78049224332267278,78049,Kenya,224332,267278,Type_1,17317.0,17317.0,2022-07-25,2022-08-01,7,Repeat Loan,5195.1,0.3,5195.0,0
ID_247062224330267278,247062,Kenya,224330,267278,Type_1,9796.0,10096.0,2022-07-25,2022-08-01,7,Repeat Loan,2938.8,0.3,3029.0,0
ID_268087232140267278,268087,Kenya,232140,267278,Type_1,33000.0,33801.0,2022-08-05,2022-08-12,7,Repeat Loan,9900.0,0.3,10140.0,0
ID_264220288529267278,264220,Kenya,288529,267278,Type_1,718.0,748.0,2022-10-26,2022-11-02,7,Repeat Loan,215.4,0.3,224.0,0
ID_271384297762267278,271384,Kenya,297762,267278,Type_1,4465.0,4497.0,2022-11-12,2022-11-19,7,Repeat Loan,1339.5,0.3,1349.0,0
ID_238243306132267278,238243,Kenya,306132,267278,Type_4,75000.0,84000.0,2022-12-16,2023-02-16,62,Repeat Loan,10000.0,0.133333333333333,11200.0,0
ID_255233128925245684,255233,Kenya,128925,245684,Type_5,20900.0,23101.0,2022-03-19,2022-04-02,14,Repeat Loan,10000.0,0.478468899521531,11053.0,1
ID_255967232098267278,255967,Kenya,232098,267278,Type_1,3325.0,3353.0,2022-08-05,2022-08-12,7,Repeat Loan,997.5,0.3,1006.0,0
ID_247075209917267278,247075,Kenya,209917,267278,Type_4,25000.0,26750.0,2022-07-07,2022-08-06,30,Repeat Loan,3333.0,0.13332,3566.0,0
ID_250743230501267278,250743,Kenya,230501,267278,Type_1,44908.0,44908.0,2022-08-02,2022-08-09,7,Repeat Loan,13472.4,0.3,13472.0,0
ID_258110277070267278,258110,Kenya,277070,267278,Type_1,5019.0,5112.0,2022-10-07,2022-10-14,7,Repeat Loan,567.38,0.113046423590356,578.0,0
ID_250421239633267278,250421,Kenya,239633,267278,Type_1,2515.0,2796.0,2022-08-19,2022-08-26,7,Repeat Loan,754.5,0.3,839.0,0
ID_251637244398267278,251637,Kenya,244398,267278,Type_1,22345.0,23026.0,2022-08-25,2022-09-01,7,Repeat Loan,2845.93,0.12736316849407,2933.0,0
ID_259363220483267278,259363,Kenya,220483,267278,Type_1,1853.0,1926.0,2022-07-20,2022-07-27,7,Repeat Loan,555.9,0.3,581.0,0
ID_249020262697267278,249020,Kenya,262697,267278,Type_1,11146.0,11423.0,2022-09-19,2022-09-26,7,Repeat Loan,370.5,0.0332406244392607,380.0,0
ID_250117240062267278,250117,Kenya,240062,267278,Type_1,435.0,451.0,2022-08-19,2022-08-26,7,Repeat Loan,0.0,0.0,0.0,0
ID_252492295335267278,252492,Kenya,295335,267278,Type_1,6447.0,6447.0,2022-11-07,2022-11-14,7,Repeat Loan,406.5,0.0630525825965565,407.0,0
ID_201038265198267278,201038,Kenya,265198,267278,Type_1,4699.0,4800.0,2022-09-22,2022-09-29,7,Repeat Loan,1409.7,0.3,1440.0,0
ID_247228302474267278,247228,Kenya,302474,267278,Type_1,975.0,989.0,2022-11-21,2022-11-28,7,Repeat Loan,292.5,0.3,297.0,0
ID_99358241608267278,99358,Kenya,241608,267278,Type_1,1249.0,1249.0,2022-08-22,2022-08-29,7,Repeat Loan,374.7,0.3,375.0,0
ID_256237223927267278,256237,Kenya,223927,267278,Type_1,18648.0,19138.0,2022-07-25,2022-08-01,7,Repeat Loan,5594.4,0.3,5741.0,0
ID_253291271083267278,253291,Kenya,271083,267278,Type_1,14218.0,14218.0,2022-09-30,2022-10-07,7,Repeat Loan,4265.4,0.3,4265.0,0
ID_256518233801267278,256518,Kenya,233801,267278,Type_1,839.0,845.0,2022-08-08,2022-08-15,7,Repeat Loan,251.7,0.3,254.0,0
ID_255859249244267278,255859,Kenya,249244,267278,Type_1,81087.0,81087.0,2022-09-01,2022-09-08,7,Repeat Loan,1068.3,0.0131747382441081,1068.0,0
ID_253483222085267278,253483,Kenya,222085,267278,Type_1,10498.0,10553.0,2022-07-22,2022-07-29,7,Repeat Loan,3149.4,0.3,3166.0,0
ID_250344283089267278,250344,Kenya,283089,267278,Type_1,3371.0,3519.0,2022-10-17,2022-10-24,7,Repeat Loan,1011.3,0.3,1056.0,0
ID_257969255335267278,257969,Kenya,255335,267278,Type_1,369.0,381.0,2022-09-09,2022-09-16,7,Repeat Loan,110.7,0.3,114.0,0
ID_258162245050267278,258162,Kenya,245050,267278,Type_1,6299.0,6299.0,2022-08-26,2022-09-02,7,Repeat Loan,1889.7,0.3,1890.0,0
ID_249188266491267278,249188,Kenya,266491,267278,Type_1,600.0,605.0,2022-09-24,2022-10-01,7,Repeat Loan,180.0,0.3,182.0,0
ID_262261287300267278,262261,Kenya,287300,267278,Type_1,7800.0,8039.0,2022-10-24,2022-10-31,7,Repeat Loan,2340.0,0.3,2412.0,0
ID_245063230473267278,245063,Kenya,230473,267278,Type_1,12639.0,12639.0,2022-08-02,2022-08-09,7,Repeat Loan,3791.7,0.3,3792.0,0
ID_254218239870267278,254218,Kenya,239870,267278,Type_1,2630.0,2630.0,2022-08-19,2022-08-26,7,Repeat Loan,0.0,0.0,0.0,0
ID_251535267577267278,251535,Kenya,267577,267278,Type_1,2238.0,2303.0,2022-09-26,2022-10-03,7,Repeat Loan,671.4,0.3,691.0,0
ID_268036241528267278,268036,Kenya,241528,267278,Type_1,6730.0,6812.0,2022-08-22,2022-08-29,7,Repeat Loan,2019.0,0.3,2044.0,0
ID_259693287559267278,259693,Kenya,287559,267278,Type_1,10995.0,10995.0,2022-10-24,2022-10-31,7,Repeat Loan,696.3,0.0633287858117326,696.0,0
ID_250769231334267278,250769,Kenya,231334,267278,Type_1,19138.0,19603.0,2022-08-03,2022-08-10,7,Repeat Loan,5741.4,0.3,5881.0,0
ID_256361243152267278,256361,Kenya,243152,267278,Type_1,10798.0,10838.0,2022-08-24,2022-08-31,7,Repeat Loan,3239.4,0.3,3251.0,0
ID_245775238675267278,245775,Kenya,238675,267278,Type_1,12947.0,12947.0,2022-08-17,2022-08-24,7,Repeat Loan,297.21,0.0229558971190237,297.0,0
ID_256145220790267278,256145,Kenya,220790,267278,Type_1,1190.0,1235.0,2022-07-20,2022-07-27,7,Repeat Loan,357.0,0.3,371.0,0
ID_266537298004267278,266537,Kenya,298004,267278,Type_1,5961.0,6049.0,2022-11-12,2022-11-19,7,Repeat Loan,1788.3,0.3,1815.0,0
ID_241687255823267278,241687,Kenya,255823,267278,Type_1,9297.0,9403.0,2022-09-09,2022-09-16,7,Repeat Loan,2789.1,0.3,2821.0,0
ID_264799307376267278,264799,Kenya,307376,267278,Type_4,120000.0,136500.0,2023-06-27,2023-09-25,90,Repeat Loan,6000.0,0.05,6825.0,1
ID_246008264692267278,246008,Kenya,264692,267278,Type_1,1047.0,1063.0,2022-09-21,2022-09-28,7,Repeat Loan,314.1,0.3,319.0,0
ID_249218250138267278,249218,Kenya,250138,267278,Type_1,2400.0,2417.0,2022-09-02,2022-09-09,7,Repeat Loan,720.0,0.3,725.0,0
ID_271527283993251804,271527,Kenya,283993,251804,Type_4,27000.0,28890.0,2022-10-18,2022-11-17,30,Repeat Loan,3600.0,0.133333333333333,3852.0,0
ID_252332278700267278,252332,Kenya,278700,267278,Type_1,2999.0,2999.0,2022-10-10,2022-10-17,7,Repeat Loan,0.0,0.0,0.0,0
ID_260336251824267278,260336,Kenya,251824,267278,Type_1,25106.0,25409.0,2022-09-05,2022-09-12,7,Repeat Loan,1471.01,0.0585919700470007,1489.0,0
ID_253602274205267278,253602,Kenya,274205,267278,Type_1,768.0,792.0,2022-10-04,2022-10-11,7,Repeat Loan,0.0,0.0,0.0,0
ID_261535280653267278,261535,Kenya,280653,267278,Type_1,36429.0,37537.0,2022-10-12,2022-10-19,7,Repeat Loan,0.0,0.0,0.0,0
ID_273351357280267278,273351,Kenya,357280,267278,Type_9,40068.0,40670.0,2023-07-14,2023-08-15,32,Repeat Loan,3068.0,0.0765698312868124,3114.0,0
ID_259206306524251804,259206,Kenya,306524,251804,Type_9,246484.54,250181.81,2023-02-01,2023-03-18,45,Repeat Loan,16045.0,0.0650953605447221,16286.0,0
ID_247907232094267278,247907,Kenya,232094,267278,Type_1,17358.0,17888.0,2022-08-05,2022-08-12,7,Repeat Loan,5207.4,0.3,5366.0,0
ID_269763275355267278,269763,Kenya,275355,267278,Type_1,4455.0,4616.0,2022-10-05,2022-10-12,7,Repeat Loan,129.73,0.0291200897867564,134.0,0
ID_259636294071267278,259636,Kenya,294071,267278,Type_1,3290.0,3359.0,2022-11-05,2022-11-12,7,Repeat Loan,987.0,0.3,1008.0,0
ID_261520282074267278,261520,Kenya,282074,267278,Type_1,20394.0,20857.0,2022-10-15,2022-10-22,7,Repeat Loan,6118.2,0.3,6257.0,0
ID_259803264432267278,259803,Kenya,264432,267278,Type_1,19146.0,19383.0,2022-09-21,2022-09-28,7,Repeat Loan,5.42,0.000283087851248302,5.0,0
ID_253056286220267278,253056,Kenya,286220,267278,Type_1,21990.0,21990.0,2022-10-22,2022-10-29,7,Repeat Loan,6597.0,0.3,6597.0,0
ID_249343231837267278,249343,Kenya,231837,267278,Type_1,3235.0,3352.0,2022-08-04,2022-08-11,7,Repeat Loan,970.5,0.3,1006.0,0
ID_310717371747267278,310717,Kenya,371747,267278,Type_7,4790.0,4958.0,2024-09-24,2024-10-01,7,Repeat Loan,958.0,0.2,992.0,0
ID_257106245623267278,257106,Kenya,245623,267278,Type_1,13238.0,13479.0,2022-08-27,2022-09-03,7,Repeat Loan,950.04,0.0717661278138691,967.0,0
ID_251644279310251804,251644,Kenya,279310,251804,Type_5,20500.0,21625.0,2022-10-11,2022-10-25,14,Repeat Loan,5466.0,0.266634146341463,5766.0,0
ID_259276304280267278,259276,Kenya,304280,267278,Type_1,5643.0,5643.0,2022-11-25,2022-12-02,7,Repeat Loan,0.0,0.0,0.0,0
ID_310926373840267278,310926,Kenya,373840,267278,Type_7,6000.0,6211.0,2024-10-24,2024-10-31,7,Repeat Loan,1200.0,0.2,1242.0,0
ID_259970271495267278,259970,Kenya,271495,267278,Type_1,4329.0,4344.0,2022-09-30,2022-10-07,7,Repeat Loan,0.09,2.07900207900207e-05,0.0,0
ID_264837221892267278,264837,Kenya,221892,267278,Type_1,8999.0,9274.0,2022-07-22,2022-07-29,7,Repeat Loan,2699.7,0.3,2782.0,0
ID_34823165160251804,34823,Kenya,165160,251804,Type_5,60000.0,63100.0,2022-05-14,2022-05-28,14,Repeat Loan,7933.85,0.132230833333333,8344.0,0
